Point;Site;Year;Mud;Gravel;OM;T_mean;T_sd;Current_mean;Depth;Fetch_max;Mini;Branching_density;L;Total_Density;Sphericity;DR3
Belle-ile 1;Belle-ile;2007;15,372;76,527;5,1692;14,0482568641814;2,60049832052541;0,180664078116127;4;81,5435236778238;MBE_1;3;0,497968502053207;41,8768502824231;0,66901092072979;0,61656750417914
Belle-ile 1;Belle-ile;2008;6,398;82,476;0,2550;11,5806854771082;1,70249045263404;0,185233438048567;4;81,5435236778238;MBE_1;3;0,497968502053207;41,8768502824231;0,66901092072979;0,61656750417914
Belle-ile 1;Belle-ile;2009;0,690;96,730;2,8900;12,2689560923256;2,72231993999191;0,181052457691595;4;81,5435236778238;MBE_1;3;0,497968502053207;41,8768502824231;0,66901092072979;0,61656750417914
Belle-ile 1;Belle-ile;2010;0,980;73,553;2,8400;10,9505644479597;2,01903353036249;0,181078841074147;4;81,5435236778238;MBE_1;3;0,497968502053207;41,8768502824231;0,66901092072979;0,61656750417914
Belle-ile 1;Belle-ile;2011;0,400;97,940;3,8500;12,0027363588611;2,33164206700129;0,187258882311995;4;81,5435236778238;MBE_1;3;0,497968502053207;41,8768502824231;0,66901092072979;0,61656750417914
Belle-ile 1;Belle-ile;2012;8,451;82,018;4,2500;13,6523982999433;2,80053672480147;0,181122352953961;4;81,5435236778238;MBE_1;3;0,497968502053207;41,8768502824231;0,66901092072979;0,61656750417914
